OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI,LONG,LAT
49119,,,6025,MCIVOR BTW PATRICK AND MURPHY,POS,,,,,,,,OPERATIONAL,PELICAN,,,,144.297,-36.758
49120,,,1374,DERRIMUT/WERRIBEE PLAZA ENT 4,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.683,-37.875
49121,,,1505,PALMERS/OVERTON,INT,,,,,,,,OPERATIONAL,,,,,144.748,-37.867
49122,,,5327,PIGDONS ROAD / UNIVERSITY DRIVE,INT,,,,,,,,OPERATIONAL,,,,,144.305,-38.193
49123,,,2500,RACECOURSE/SMITHFIELD,INT,,,,,,,,OPERATIONAL,"Bluetooth,TRAM PRI",,,,144.925,-37.788
49124,,,3403,KENSINGTON RD/ALTONA ST,INT,,,,,,,,OPERATIONAL,,,,,144.925,-37.796
49125,,,2026,HOLLAND AVE NR BURWOOD HWY,POS,,,,,,,,OPERATIONAL,,,,,145.115,-37.85
49126,,,5939,KYNETON MAIN ROAD JENNINGS AND LAURISTON,POS,,,,,,,,OPERATIONAL,PELICAN,,,,144.454,-37.248
49127,,,5187,BARWON/SWANSTON,INT,,,,,,,,OPERATIONAL,,,,,144.361,-38.166
49128,,,3641,PEARCEDALE PDE/SHOPPING CENTRE ACCESS RD,INT,,,,,,,,OPERATIONAL,,,,,144.918,-37.679
49129,,,4040,BURKE/CAMBERWELL/RIVERSDALE,INT,,,,,,,,OPERATIONAL,"Bluetooth,TRAM PRI,UPS",,,,145.057,-37.831
49130,,,3444,RATHDOWNE ST NEAR RICHARDSON ST,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.973,-37.785
49131,,,1251,KANGAN DR (NEAR MCDONALDS ACCESS),POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.343,-38.04
49132,,,5351,SURF COAST HWY / ARMSTRONG BLVD,INT,,,,,,,,OPERATIONAL,,,,,144.336,-38.229
49133,,,2035,Hume Highway/Bunnings Access Road,INT,,,,,,,,OPERATIONAL,,,,,144.94,-37.583
49134,,,1529,FITZSIMONS NORTH OF PARKWOOD,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.135,-37.752
49135,,,6217,BARNARD/MERCY,INT,,,,,,,,OPERATIONAL,,,,,144.283,-36.751
49136,,,1350,EDITHVALE ROAD NEAR FRENCH AVE,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.113,-38.038
49137,,,5325,LEAKES/ SUNSET VIEWS,INT,,,,,,,,OPERATIONAL,,,,,144.695,-37.835
49138,,,3182,CLYDE RD/RESERVE ST,INT,,,,,,,,OPERATIONAL,,,,,145.343,-38.036
49139,,,3183,CLYDE RD/MANSFIELD RD/LANGMORE LANE,INT,,,,,,,,OPERATIONAL,,,,,145.343,-38.033
49140,,,1522,HALLAM NR IVAN,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.267,-38.039
49141,,,2195,SOMERTON/MAGNOLIA,INT,,,,,,,,OPERATIONAL,,,,,144.919,-37.639
49142,,,6805,LAVA STREET btn KEPLER ST & LIEBIG ST,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,142.484,-38.381
49143,,,3574,Dorset Rd btw Leigh Rd & Affleck Rd,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.289,-37.802
49144,,,3573,Mt.Dandenong Rd btw Farnley St & Jarvis,POS,,,,,,,,OPERATIONAL,"Bike Det,METER,PUFFIN",,,,145.299,-37.801
49145,,,1704,Frankston-Dandenong Rd / Yazaki Way,INT,,,,,,,,OPERATIONAL,,,,,145.176,-38.095
49146,,,5353,SURF COAST HWY/WHITES RD/WARRALILY RD,INT,,,,,,,,OPERATIONAL,,,,,144.335,-38.234
49147,,,1063,DUDLEY NR WILLIAM,POS,,,,,,,,OPERATIONAL,"GWTT,PUFFIN,TRAM PRI",,,,144.955,-37.808
49148,,,2025,NEPEAN HWY/BALCOMBE G-SCHOOL ACC/BAY,INT,,,,,,,,OPERATIONAL,,,,,145.033,-38.273
49149,,,5156,PATULLOS/KEES,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.395,-38.023
49150,,,1238,GEORGE/RUDDOCK,INT,,,,,,,,OPERATIONAL,BUS PRI,,,,145.21,-37.988
49151,,,1245,THOMPSON RD/WORSLEY RD,INT,,,,,,,,OPERATIONAL,,,,,145.179,-38.07
49152,,,1119,DANDENDONG SOUTH BYPASS/CHANDLER,INT,,,,,,,,OPERATIONAL,,,,,145.181,-38
49153,,,2442,KOORNANG/ARAWATTA,INT,,,,,,,,OPERATIONAL,RAIL LNK,,,,145.058,-37.885
49154,,,1321,SURREY ROAD NR COOTAMUNDRA CR,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.157,-37.813
49155,,,1331,THOMPSONS RD/MARRIOTT BIVD/MISSENS RD,INT,,,,,,,,OPERATIONAL,,,,,145.251,-38.079
49156,,,1511,HAMMOND/RODEO DRV/L'AVENIR BLVD,INT,,,,,,,,OPERATIONAL,,,,,145.207,-38.006
49157,,,2992,MICKLEHAM/ MELROSE / BROADMEADOWS,INT,,,,,,,,OPERATIONAL,,,,,144.88,-37.7
49158,,,3705,STUD / MOCKRIDGE,INT,,,,,,,,OPERATIONAL,,,,,145.233,-37.886
49159,,,1363,CRAIGIEBURN /VANTAGE BLVD,INT,,,,,,,,OPERATIONAL,"Bluetooth,DIDO,METER,TELECOM",,,,144.895,-37.592
49160,,,3649,DONALD btwn NICHOLSON & LEEDS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,144.9,-37.798
49161,,,5845,PEEL/BRIDGE MALL,INT,,,,,,,,OPERATIONAL,,,,,143.864,-37.563
49162,,,3257,VINEYARD/ELIZABETH/DEVENY,INT,,,,,,,,OPERATIONAL,,,,,144.714,-37.595
49163,,,3095,JOHN/ACCESS,INT,,,,,,,,OPERATIONAL,,,,,145.344,-37.758
49164,,,3153,BRIDGE INN BETWEEN MERNDA AND CRAVENS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.088,-37.6
49165,,,1596,LAWRENCE B/W HOVELL & HAVELOCK,FLASH PX,,,,,,,,OPERATIONAL,,,,,146.889,-36.125
49166,,,1597,LAWRENCE B/W HAVELOCK & ETHEL,FLASH PX,,,,,,,,OPERATIONAL,,,,,146.89,-36.125
49167,,,1598,HAVELOCK B/W LAWRENCE & ELGIN,FLASH PX,,,,,,,,OPERATIONAL,,,,,146.89,-36.124
49168,,,1599,Frankston-Flinders Road nr Peddle Street,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.177,-38.337
49169,,,6807,Bentinck Street near Otway Court,POS,,,,,,,,OPERATIONAL,"AMBU LNK,EVP",,,,141.607,-38.341
49170,,,4250,SOMERVILLE NR BISHOP,POS,,,,,,,,OPERATIONAL,,,,,144.874,-37.812
49171,,,4267,CAMBERWELL/HAROLD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.052,-37.827
49172,,,4302,ORIEL NR BANKSIA,POS,,,,,,,,OPERATIONAL,Bluetooth,,,,145.038,-37.757
49173,,,4304,WATERDALE NR LOWE,POS,,,,,,,,OPERATIONAL,,,,,145.043,-37.767
49174,,,4429,RATHDOWNE NR NEWRY,POS,,,,,,,,OPERATIONAL,,,,,144.972,-37.789
49175,,,101,WELLS/CHELSEA HEIGHTS HOTEL,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,145.132,-38.029
49176,,,2186,AMAROO/HUME FWY NB EXIT R,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,144.943,-37.584
49177,,,5128,MARYBOROUGH-DUNOLLY (BROADWAY) NR BULL,FLASH PX,,,,,,,,OPERATIONAL,,,,,149.732,-36.86
49178,,,5324,DERRIMUT/TARNEIT STATION,INT,,,,,,,,OPERATIONAL,,,,,144.692,-37.83
49179,,,5323,OLD GEELONG / COSTA,INT,,,,,,,,OPERATIONAL,,,,,144.718,-37.875
49180,,,1326,EDGARS RD/HARVEST HOME RD,INT,,,,,,,,OPERATIONAL,,,,,145.005,-37.621
49181,,,1327,EDGARS RD/GAMMAGE BVD,INT,,,,,,,,OPERATIONAL,,,,,145.005,-37.625
49182,,,1397,TOORAK/MASTERS CAR PARK,INT,,,,,,,,OPERATIONAL,,,,,145.043,-37.845
49183,,,5183,BRIDGE/WATER/BAXTER,INT,,,,,,,,OPERATIONAL,AMBU LNK,,,,144.284,-36.753
49184,,,1520,MT D'DENONG/MONTROSE/MT D'DENONG TOURIST,RBT MTR,,,,,,,,OPERATIONAL,"RBT SIGS,UPS",,,,145.342,-37.81
49185,,,1312,GREENS RD/ORDISH RD/NORTHERN ACCESS RD,INT,,,,,,,,OPERATIONAL,,,,,145.196,-38.013
49186,,,1313,BRIDGE INN ROAD / CRAVENS ROAD / GALLOWA,INT,,,,,,,,OPERATIONAL,,,,,145.082,-37.599
49187,,,1514,EPPING/BALTRUM,INT,,,,,,,,OPERATIONAL,,,,,145.03,-37.616
49188,,,1378,CENTRE / MASTERS ACCESS,INT,,,,,,,,OPERATIONAL,,,,,145.086,-37.924
49189,,,40475,WRR Entry Ramp Calder Fwy IB,OH LANE,,,,,,,,OPERATIONAL,,,,,144.86,-37.726
49190,,,40411,Calder Fwy IB 300m Matthews Ave,OH LANE,,,,,,,,OPERATIONAL,,,,,144.893,-37.734
49191,,,40412,Calder Fwy IB 300m Matthews Ave,OH LANE,,,,,,,,OPERATIONAL,,,,,144.893,-37.734
49192,,,40472,Calder Fwy 900m bef Moorna Dr ex Ramp IB,OH LANE,,,,,,,,OPERATIONAL,,,,,144.879,-37.732
49193,,,40476,Calder Fwy Sunshine Ave Entry Ramp IB,OH LANE,,,,,,,,OPERATIONAL,,,,,144.811,-37.701
49194,,,40477,Calder Fwy Sunshine Ave Entry Ramp IB1,OH LANE,,,,,,,,OPERATIONAL,,,,,144.806,-37.702
49195,,,2493,East Esplanade near Victoria Square,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.799,-37.742
49196,,,3495,Hartington Street near Marlborough Stree,POS,,,,,,,,OPERATIONAL,,,,,144.918,-37.704
49197,,,1739,"Toorak Road, West of Glenbervie Road",POS,,,,,,,,OPERATIONAL,TRAM RSV,,,,145.03,-37.844
49198,,,1498,AITKEN BOULEVARD / 420 CRAIGIEBURN ACCES,INT,,,,,,,,OPERATIONAL,,,,,144.91,-37.593
49199,,,1744,King Street North of Jeffcott Street,POS,,,,,,,,OPERATIONAL,,,,,144.953,-37.811
49200,,,3185,St Albans Road near Princess Street,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,144.801,-37.745
